sampleID	add1	transcript	add2	TPM	add3
S01	1	chr2_uc002rvz.4	1	157157.03	4
S01	1	chr2_uc002rvy.2	2	26983.21	4
S01	1	chr2_uc010fbh.1	3	6902.84	4
S01	1	chr11_uc009yxr.1	4	116319.04	1
S01	1	chr11_uc001pkb.1	5	5799.09	1
S01	1	chr11_uc001pkc.1	6	90011.22	1
S01	1	chr11_uc001pkf.3	7	9798.2	1
S01	1	chr11_uc001pkd.4	8	403.22	1
S01	1	chr13_uc001uub.1	9	185431.89	3
S01	1	chr16_uc002dlx.1	10	279214.06	5
S01	1	chr17_uc002ict.3	11	106590.91	2
S01	1	chr17_uc010cyz.2	12	774.03	2
S01	1	chr17_uc010who.3	13	14615.28	2
S02	2	chr2_uc002rvz.4	1	156944.16	4
S02	2	chr2_uc002rvy.2	2	23379.36	4
S02	2	chr2_uc010fbh.1	3	6357.67	4
S02	2	chr11_uc009yxr.1	4	128360.01	1
S02	2	chr11_uc001pkb.1	5	6642.85	1
S02	2	chr11_uc001pkc.1	6	86399.52	1
S02	2	chr11_uc001pkf.3	7	8860.23	1
S02	2	chr11_uc001pkd.4	8	191.97	1
S02	2	chr13_uc001uub.1	9	179493.86	3
S02	2	chr16_uc002dlx.1	10	278293.91	5
S02	2	chr17_uc002ict.3	11	110325.91	2
S02	2	chr17_uc010cyz.2	12	703.08	2
S02	2	chr17_uc010who.3	13	14047.47	2
S03	3	chr2_uc002rvz.4	1	157495.56	4
S03	3	chr2_uc002rvy.2	2	27162.59	4
S03	3	chr2_uc010fbh.1	3	8709.34	4
S03	3	chr11_uc009yxr.1	4	123303.06	1
S03	3	chr11_uc001pkb.1	5	6240.72	1
S03	3	chr11_uc001pkc.1	6	94599.74	1
S03	3	chr11_uc001pkf.3	7	10554.5	1
S03	3	chr11_uc001pkd.4	8	342.55	1
S03	3	chr13_uc001uub.1	9	193659.03	3
S03	3	chr16_uc002dlx.1	10	263686.06	5
S03	3	chr17_uc002ict.3	11	101802.45	2
S03	3	chr17_uc010cyz.2	12	801.12	2
S03	3	chr17_uc010who.3	13	11643.27	2
S04	4	chr2_uc002rvz.4	1	158377.3	4
S04	4	chr2_uc002rvy.2	2	28463.8	4
S04	4	chr2_uc010fbh.1	3	6802.78	4
S04	4	chr11_uc009yxr.1	4	123311.29	1
S04	4	chr11_uc001pkb.1	5	6986.47	1
S04	4	chr11_uc001pkc.1	6	95959.77	1
S04	4	chr11_uc001pkf.3	7	9248.61	1
S04	4	chr11_uc001pkd.4	8	232.28	1
S04	4	chr13_uc001uub.1	9	194378.48	3
S04	4	chr16_uc002dlx.1	10	261143.78	5
S04	4	chr17_uc002ict.3	11	100726.27	2
S04	4	chr17_uc010cyz.2	12	658.19	2
S04	4	chr17_uc010who.3	13	13710.99	2
S05	5	chr2_uc002rvz.4	1	134088.59	4
S05	5	chr2_uc002rvy.2	2	21202.53	4
S05	5	chr2_uc010fbh.1	3	3805.79	4
S05	5	chr11_uc009yxr.1	4	112677.8	1
